院校,年份,院系,专业,初试成绩,复试成绩,复试满分,总成绩,是否录取
中国矿业大学(北京),2020,机电与信息工程学院,信号与信息处理,323.0,77.33,100.0,70.97,是
中国矿业大学(北京),2020,机电与信息工程学院,信号与信息处理,339.0,85.33,100.0,73.64,是
中国矿业大学(北京),2020,机电与信息工程学院,信号与信息处理,285.0,78.0,100.0,64.0,是
中国矿业大学(北京),2020,机电与信息工程学院,控制理论与控制工程,329.0,67.33,100.0,66.57,是
中国矿业大学(北京),2020,机电与信息工程学院,控制理论与控制工程,340.0,80.0,100.0,74.0,是
中国矿业大学(北京),2020,机电与信息工程学院,控制理论与控制工程,326.0,72.0,100.0,67.47,是
中国矿业大学(北京),2020,机电与信息工程学院,检测技术与自动化装置,275.0,84.0,100.0,64.67,是
中国矿业大学(北京),2020,机电与信息工程学院,检测技术与自动化装置,308.0,86.33,100.0,69.84,是
中国矿业大学(北京),2020,机电与信息工程学院,检测技术与自动化装置,279.0,81.33,100.0,64.31,是
中国矿业大学(北京),2020,机电与信息工程学院,检测技术与自动化装置,299.0,76.67,100.0,65.42,是
中国矿业大学(北京),2020,机电与信息工程学院,模式识别与智能系统,292.0,76.67,100.0,67.53,是
中国矿业大学(北京),2020,机电与信息工程学院,模式识别与智能系统,324.0,73.33,100.0,69.07,是
中国矿业大学(北京),2020,机电与信息工程学院,模式识别与智能系统,349.0,78.67,100.0,74.23,是
中国矿业大学(北京),2020,机电与信息工程学院,模式识别与智能系统,289.0,84.67,100.0,66.76,是
中国矿业大学(北京),2020,机电与信息工程学院,模式识别与智能系统,334.0,86.67,100.0,73.42,是
中国矿业大学(北京),2020,机电与信息工程学院,模式识别与智能系统,286.0,84.67,100.0,66.36,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,294.0,60.25,100.0,59.28,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,287.0,74.75,100.0,63.18,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,306.0,65.0,100.0,62.47,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,284.0,75.0,100.0,62.87,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,342.0,69.75,100.0,68.85,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,271.0,71.0,100.0,59.8,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,296.0,65.25,100.0,61.22,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,310.0,65.0,100.0,63.0,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,317.0,80.0,100.0,68.93,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,298.0,60.75,100.0,59.98,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,288.0,61.75,100.0,58.98,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,332.0,69.75,100.0,67.52,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,319.0,65.0,100.0,64.2,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,296.0,80.25,100.0,66.22,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,348.0,69.75,100.0,69.65,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,297.0,64.75,100.0,61.18,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,307.0,70.0,100.0,64.27,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,295.0,70.25,100.0,62.75,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,364.0,64.75,100.0,70.12,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,287.0,65.0,100.0,59.93,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,316.0,80.25,100.0,68.88,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,304.0,69.75,100.0,63.78,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,295.0,80.0,100.0,66.0,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,310.0,65.0,100.0,63.0,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,338.0,81.0,100.0,72.07,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,339.0,71.0,100.0,68.87,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,317.0,81.0,100.0,69.27,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,316.0,82.0,100.0,69.47,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,350.0,67.4,100.0,69.13,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,331.0,64.4,100.0,65.6,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,316.0,69.0,100.0,65.13,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,341.0,69.0,100.0,68.47,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,298.0,80.4,100.0,66.53,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,290.0,82.8,100.0,66.27,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,347.0,70.0,100.0,69.6,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,328.0,70.0,100.0,67.07,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,361.0,79.0,100.0,74.47,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,318.0,76.0,100.0,67.73,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,309.0,76.0,100.0,66.53,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,340.0,78.0,100.0,71.33,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,314.0,75.0,100.0,66.87,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,305.0,73.6,100.0,65.2,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,337.0,66.0,100.0,66.93,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,342.0,77.0,100.0,71.27,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,312.0,67.2,100.0,64.0,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,342.0,68.8,100.0,68.53,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,323.0,72.0,100.0,67.07,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,328.0,84.6,100.0,71.93,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,296.0,72.4,100.0,63.6,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,330.0,63.0,100.0,65.0,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,367.0,62.0,100.0,69.6,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,302.0,73.8,100.0,64.87,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,345.0,80.2,100.0,72.73,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,323.0,70.4,100.0,66.53,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,320.0,63.0,100.0,63.67,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,317.0,73.0,100.0,68.2,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,324.0,78.0,100.0,71.4,是
中国矿业大学(北京),2020,机电与信息工程学院,电子信息,328.0,74.67,100.0,70.13,是
